open,high,low,close,volume,symbol,timestamp_berlin,timestamp_et
522.5,523.14,522.5,523.14,195.0,QQQ,2025-01-21 10:00:00+01:00,2025-01-21 04:00:00-05:00
523.28,523.45,523.19,523.3,198.0,QQQ,2025-01-21 10:05:00+01:00,2025-01-21 04:05:00-05:00
523.33,523.74,523.33,523.59,116.0,QQQ,2025-01-21 10:10:00+01:00,2025-01-21 04:10:00-05:00
523.87,523.87,523.33,523.42,402.0,QQQ,2025-01-21 10:15:00+01:00,2025-01-21 04:15:00-05:00
523.41,523.8,523.41,523.7,26.0,QQQ,2025-01-21 10:20:00+01:00,2025-01-21 04:20:00-05:00
523.46,523.64,523.33,523.64,74.0,QQQ,2025-01-21 10:25:00+01:00,2025-01-21 04:25:00-05:00
523.7,524.05,523.69,524.02,54.0,QQQ,2025-01-21 10:30:00+01:00,2025-01-21 04:30:00-05:00
524.06,524.16,523.92,523.97,64.0,QQQ,2025-01-21 10:35:00+01:00,2025-01-21 04:35:00-05:00
523.99,523.99,523.78,523.81,35.0,QQQ,2025-01-21 10:40:00+01:00,2025-01-21 04:40:00-05:00
523.84,524.01,523.84,524.01,8.0,QQQ,2025-01-21 10:45:00+01:00,2025-01-21 04:45:00-05:00
524.04,524.04,523.93,523.93,60.0,QQQ,2025-01-21 10:50:00+01:00,2025-01-21 04:50:00-05:00
523.98,524.43,523.96,524.43,77.0,QQQ,2025-01-21 10:55:00+01:00,2025-01-21 04:55:00-05:00
524.52,524.75,524.47,524.75,61.0,QQQ,2025-01-21 11:00:00+01:00,2025-01-21 05:00:00-05:00
524.72,524.95,524.72,524.82,109.0,QQQ,2025-01-21 11:05:00+01:00,2025-01-21 05:05:00-05:00
524.61,524.64,524.37,524.37,102.0,QQQ,2025-01-21 11:10:00+01:00,2025-01-21 05:10:00-05:00
524.31,524.48,524.31,524.44,51.0,QQQ,2025-01-21 11:15:00+01:00,2025-01-21 05:15:00-05:00
524.44,524.44,524.31,524.42,85.0,QQQ,2025-01-21 11:20:00+01:00,2025-01-21 05:20:00-05:00
524.51,524.59,524.51,524.55,8.0,QQQ,2025-01-21 11:25:00+01:00,2025-01-21 05:25:00-05:00
524.52,524.6,524.52,524.6,21.0,QQQ,2025-01-21 11:30:00+01:00,2025-01-21 05:30:00-05:00
524.57,524.7,524.56,524.56,17.0,QQQ,2025-01-21 11:35:00+01:00,2025-01-21 05:35:00-05:00
524.51,524.51,524.44,524.5,16.0,QQQ,2025-01-21 11:40:00+01:00,2025-01-21 05:40:00-05:00
524.54,524.54,524.37,524.37,34.0,QQQ,2025-01-21 11:45:00+01:00,2025-01-21 05:45:00-05:00
524.29,524.35,524.12,524.12,145.0,QQQ,2025-01-21 11:50:00+01:00,2025-01-21 05:50:00-05:00
524.03,524.14,523.92,523.92,35.0,QQQ,2025-01-21 11:55:00+01:00,2025-01-21 05:55:00-05:00
523.97,524.14,523.97,524.14,34.0,QQQ,2025-01-21 12:00:00+01:00,2025-01-21 06:00:00-05:00
524.2,524.37,524.2,524.36,26.0,QQQ,2025-01-21 12:05:00+01:00,2025-01-21 06:05:00-05:00
524.37,524.37,524.37,524.37,3.0,QQQ,2025-01-21 12:10:00+01:00,2025-01-21 06:10:00-05:00
524.44,524.44,524.0,524.0,97.0,QQQ,2025-01-21 12:15:00+01:00,2025-01-21 06:15:00-05:00
523.93,523.93,523.67,523.87,63.0,QQQ,2025-01-21 12:20:00+01:00,2025-01-21 06:20:00-05:00
523.94,523.94,523.67,523.72,112.0,QQQ,2025-01-21 12:25:00+01:00,2025-01-21 06:25:00-05:00
523.83,523.92,523.43,523.76,305.0,QQQ,2025-01-21 12:30:00+01:00,2025-01-21 06:30:00-05:00
523.82,524.07,523.82,524.07,159.0,QQQ,2025-01-21 12:35:00+01:00,2025-01-21 06:35:00-05:00
524.06,524.08,524.0,524.04,40.0,QQQ,2025-01-21 12:40:00+01:00,2025-01-21 06:40:00-05:00
523.95,523.99,523.92,523.99,41.0,QQQ,2025-01-21 12:45:00+01:00,2025-01-21 06:45:00-05:00
523.95,523.95,523.87,523.87,47.0,QQQ,2025-01-21 12:50:00+01:00,2025-01-21 06:50:00-05:00
523.79,523.79,523.52,523.52,265.0,QQQ,2025-01-21 12:55:00+01:00,2025-01-21 06:55:00-05:00
523.6,523.69,522.94,523.18,914.0,QQQ,2025-01-21 13:00:00+01:00,2025-01-21 07:00:00-05:00
523.23,523.71,523.21,523.7,140.0,QQQ,2025-01-21 13:05:00+01:00,2025-01-21 07:05:00-05:00
523.7,523.7,523.4,523.49,68.0,QQQ,2025-01-21 13:10:00+01:00,2025-01-21 07:10:00-05:00
523.65,523.88,523.61,523.88,86.0,QQQ,2025-01-21 13:15:00+01:00,2025-01-21 07:15:00-05:00
523.85,524.07,523.8,524.07,218.0,QQQ,2025-01-21 13:20:00+01:00,2025-01-21 07:20:00-05:00
524.03,524.27,523.94,524.24,241.0,QQQ,2025-01-21 13:25:00+01:00,2025-01-21 07:25:00-05:00
524.18,524.24,524.0,524.1,181.0,QQQ,2025-01-21 13:30:00+01:00,2025-01-21 07:30:00-05:00
524.08,524.41,524.05,524.36,199.0,QQQ,2025-01-21 13:35:00+01:00,2025-01-21 07:35:00-05:00
524.3,524.3,524.09,524.1,76.0,QQQ,2025-01-21 13:40:00+01:00,2025-01-21 07:40:00-05:00
524.29,524.3,523.92,523.96,95.0,QQQ,2025-01-21 13:45:00+01:00,2025-01-21 07:45:00-05:00
523.9,524.1,523.75,524.1,425.0,QQQ,2025-01-21 13:50:00+01:00,2025-01-21 07:50:00-05:00
524.03,524.26,523.92,524.12,217.0,QQQ,2025-01-21 13:55:00+01:00,2025-01-21 07:55:00-05:00
523.43,524.92,521.5,524.13,1592.0,QQQ,2025-01-21 14:00:00+01:00,2025-01-21 08:00:00-05:00
524.07,524.29,521.34,524.27,96.0,QQQ,2025-01-21 14:05:00+01:00,2025-01-21 08:05:00-05:00
524.32,524.32,524.04,524.17,297.0,QQQ,2025-01-21 14:10:00+01:00,2025-01-21 08:10:00-05:00
524.21,524.42,524.08,524.38,174.0,QQQ,2025-01-21 14:15:00+01:00,2025-01-21 08:15:00-05:00
524.39,524.52,524.3,524.3,490.0,QQQ,2025-01-21 14:20:00+01:00,2025-01-21 08:20:00-05:00
524.31,524.33,524.02,524.05,318.0,QQQ,2025-01-21 14:25:00+01:00,2025-01-21 08:25:00-05:00
524.0,524.5,524.0,524.45,538.0,QQQ,2025-01-21 14:30:00+01:00,2025-01-21 08:30:00-05:00
524.4,524.4,524.2,524.4,357.0,QQQ,2025-01-21 14:35:00+01:00,2025-01-21 08:35:00-05:00
524.37,524.4,524.22,524.4,124.0,QQQ,2025-01-21 14:40:00+01:00,2025-01-21 08:40:00-05:00
524.4,524.85,524.4,524.73,1215.0,QQQ,2025-01-21 14:45:00+01:00,2025-01-21 08:45:00-05:00
524.77,524.88,524.67,524.8,582.0,QQQ,2025-01-21 14:50:00+01:00,2025-01-21 08:50:00-05:00
524.78,524.93,524.62,524.82,283.0,QQQ,2025-01-21 14:55:00+01:00,2025-01-21 08:55:00-05:00
524.86,525.09,524.86,524.99,889.0,QQQ,2025-01-21 15:00:00+01:00,2025-01-21 09:00:00-05:00
525.0,525.01,524.71,524.76,399.0,QQQ,2025-01-21 15:05:00+01:00,2025-01-21 09:05:00-05:00
524.78,524.82,524.62,524.82,186.0,QQQ,2025-01-21 15:10:00+01:00,2025-01-21 09:10:00-05:00
524.79,524.86,524.47,524.5,389.0,QQQ,2025-01-21 15:15:00+01:00,2025-01-21 09:15:00-05:00
524.47,524.53,524.2,524.3,656.0,QQQ,2025-01-21 15:20:00+01:00,2025-01-21 09:20:00-05:00
524.29,524.67,524.15,524.45,1517.0,QQQ,2025-01-21 15:25:00+01:00,2025-01-21 09:25:00-05:00
524.47,524.69,523.87,524.0,17953.0,QQQ,2025-01-21 15:30:00+01:00,2025-01-21 09:30:00-05:00
524.03,524.48,522.57,522.71,9371.0,QQQ,2025-01-21 15:35:00+01:00,2025-01-21 09:35:00-05:00
522.75,522.78,521.61,522.31,10195.0,QQQ,2025-01-21 15:40:00+01:00,2025-01-21 09:40:00-05:00
522.3,523.69,522.21,523.08,9850.0,QQQ,2025-01-21 15:45:00+01:00,2025-01-21 09:45:00-05:00
523.11,523.6,521.19,521.47,10956.0,QQQ,2025-01-21 15:50:00+01:00,2025-01-21 09:50:00-05:00
521.47,522.73,521.46,522.62,6136.0,QQQ,2025-01-21 15:55:00+01:00,2025-01-21 09:55:00-05:00
522.58,522.59,521.52,521.77,7677.0,QQQ,2025-01-21 16:00:00+01:00,2025-01-21 10:00:00-05:00
521.75,522.68,521.41,522.18,6678.0,QQQ,2025-01-21 16:05:00+01:00,2025-01-21 10:05:00-05:00
522.15,522.46,520.19,520.34,8306.0,QQQ,2025-01-21 16:10:00+01:00,2025-01-21 10:10:00-05:00
520.42,522.06,520.06,521.91,7503.0,QQQ,2025-01-21 16:15:00+01:00,2025-01-21 10:15:00-05:00
521.93,522.43,521.66,521.83,5087.0,QQQ,2025-01-21 16:20:00+01:00,2025-01-21 10:20:00-05:00
521.9,522.85,521.9,522.83,4839.0,QQQ,2025-01-21 16:25:00+01:00,2025-01-21 10:25:00-05:00
522.8,522.9,522.19,522.35,5312.0,QQQ,2025-01-21 16:30:00+01:00,2025-01-21 10:30:00-05:00
522.37,522.48,521.88,522.35,3726.0,QQQ,2025-01-21 16:35:00+01:00,2025-01-21 10:35:00-05:00
522.34,523.05,522.29,522.71,4547.0,QQQ,2025-01-21 16:40:00+01:00,2025-01-21 10:40:00-05:00
522.7,522.85,521.82,522.2,5127.0,QQQ,2025-01-21 16:45:00+01:00,2025-01-21 10:45:00-05:00
522.2,522.53,521.54,522.48,3834.0,QQQ,2025-01-21 16:50:00+01:00,2025-01-21 10:50:00-05:00
522.42,522.89,522.0,522.68,2585.0,QQQ,2025-01-21 16:55:00+01:00,2025-01-21 10:55:00-05:00
522.63,522.63,521.72,522.23,3030.0,QQQ,2025-01-21 17:00:00+01:00,2025-01-21 11:00:00-05:00
522.31,523.19,522.31,523.04,3299.0,QQQ,2025-01-21 17:05:00+01:00,2025-01-21 11:05:00-05:00
522.98,523.18,522.78,523.14,3707.0,QQQ,2025-01-21 17:10:00+01:00,2025-01-21 11:10:00-05:00
523.15,523.17,522.5,522.67,2928.0,QQQ,2025-01-21 17:15:00+01:00,2025-01-21 11:15:00-05:00
522.65,523.0,522.46,522.54,3131.0,QQQ,2025-01-21 17:20:00+01:00,2025-01-21 11:20:00-05:00
522.63,522.74,522.3,522.58,2219.0,QQQ,2025-01-21 17:25:00+01:00,2025-01-21 11:25:00-05:00
522.57,522.97,522.56,522.83,1828.0,QQQ,2025-01-21 17:30:00+01:00,2025-01-21 11:30:00-05:00
522.85,523.01,522.1,522.16,2785.0,QQQ,2025-01-21 17:35:00+01:00,2025-01-21 11:35:00-05:00
522.13,522.56,522.02,522.08,2497.0,QQQ,2025-01-21 17:40:00+01:00,2025-01-21 11:40:00-05:00
522.09,522.84,522.04,522.78,1727.0,QQQ,2025-01-21 17:45:00+01:00,2025-01-21 11:45:00-05:00
522.69,523.58,522.69,523.46,3781.0,QQQ,2025-01-21 17:50:00+01:00,2025-01-21 11:50:00-05:00
523.47,523.79,523.25,523.64,3850.0,QQQ,2025-01-21 17:55:00+01:00,2025-01-21 11:55:00-05:00
523.56,523.67,523.21,523.66,4206.0,QQQ,2025-01-21 18:00:00+01:00,2025-01-21 12:00:00-05:00
523.6,523.73,523.42,523.64,2389.0,QQQ,2025-01-21 18:05:00+01:00,2025-01-21 12:05:00-05:00
523.66,523.75,523.55,523.58,2016.0,QQQ,2025-01-21 18:10:00+01:00,2025-01-21 12:10:00-05:00
523.6,523.69,523.06,523.26,2233.0,QQQ,2025-01-21 18:15:00+01:00,2025-01-21 12:15:00-05:00
523.26,523.71,523.22,523.63,1653.0,QQQ,2025-01-21 18:20:00+01:00,2025-01-21 12:20:00-05:00
523.61,524.32,523.57,524.15,3784.0,QQQ,2025-01-21 18:25:00+01:00,2025-01-21 12:25:00-05:00
524.17,524.43,524.12,524.43,2593.0,QQQ,2025-01-21 18:30:00+01:00,2025-01-21 12:30:00-05:00
524.44,524.51,524.2,524.41,2512.0,QQQ,2025-01-21 18:35:00+01:00,2025-01-21 12:35:00-05:00
524.4,524.71,524.34,524.64,2814.0,QQQ,2025-01-21 18:40:00+01:00,2025-01-21 12:40:00-05:00
524.6,524.8,524.53,524.73,2641.0,QQQ,2025-01-21 18:45:00+01:00,2025-01-21 12:45:00-05:00
524.72,525.08,524.71,525.04,4938.0,QQQ,2025-01-21 18:50:00+01:00,2025-01-21 12:50:00-05:00
525.05,525.29,524.99,525.25,4333.0,QQQ,2025-01-21 18:55:00+01:00,2025-01-21 12:55:00-05:00
525.24,525.32,524.74,525.2,8889.0,QQQ,2025-01-21 19:00:00+01:00,2025-01-21 13:00:00-05:00
525.23,525.34,524.95,525.16,6473.0,QQQ,2025-01-21 19:05:00+01:00,2025-01-21 13:05:00-05:00
525.14,525.65,525.14,525.6,3289.0,QQQ,2025-01-21 19:10:00+01:00,2025-01-21 13:10:00-05:00
525.57,525.97,525.57,525.63,5096.0,QQQ,2025-01-21 19:15:00+01:00,2025-01-21 13:15:00-05:00
525.62,525.77,525.53,525.57,2782.0,QQQ,2025-01-21 19:20:00+01:00,2025-01-21 13:20:00-05:00
525.58,525.68,525.32,525.51,1973.0,QQQ,2025-01-21 19:25:00+01:00,2025-01-21 13:25:00-05:00
525.53,525.64,525.37,525.39,2172.0,QQQ,2025-01-21 19:30:00+01:00,2025-01-21 13:30:00-05:00
525.38,525.76,525.38,525.7,1798.0,QQQ,2025-01-21 19:35:00+01:00,2025-01-21 13:35:00-05:00
525.69,525.77,525.25,525.45,3280.0,QQQ,2025-01-21 19:40:00+01:00,2025-01-21 13:40:00-05:00
525.46,525.49,525.14,525.2,2124.0,QQQ,2025-01-21 19:45:00+01:00,2025-01-21 13:45:00-05:00
525.22,525.57,525.21,525.45,1599.0,QQQ,2025-01-21 19:50:00+01:00,2025-01-21 13:50:00-05:00
525.43,525.67,525.41,525.53,2006.0,QQQ,2025-01-21 19:55:00+01:00,2025-01-21 13:55:00-05:00
525.54,525.7,525.45,525.7,2846.0,QQQ,2025-01-21 20:00:00+01:00,2025-01-21 14:00:00-05:00
525.67,525.8,525.52,525.62,2403.0,QQQ,2025-01-21 20:05:00+01:00,2025-01-21 14:05:00-05:00
525.63,525.75,525.32,525.35,1866.0,QQQ,2025-01-21 20:10:00+01:00,2025-01-21 14:10:00-05:00
525.37,525.39,524.71,524.77,4451.0,QQQ,2025-01-21 20:15:00+01:00,2025-01-21 14:15:00-05:00
524.77,524.96,524.54,524.77,3383.0,QQQ,2025-01-21 20:20:00+01:00,2025-01-21 14:20:00-05:00
524.76,525.38,524.75,525.24,1995.0,QQQ,2025-01-21 20:25:00+01:00,2025-01-21 14:25:00-05:00
525.26,525.26,524.72,524.77,2617.0,QQQ,2025-01-21 20:30:00+01:00,2025-01-21 14:30:00-05:00
524.78,524.81,524.49,524.61,1671.0,QQQ,2025-01-21 20:35:00+01:00,2025-01-21 14:35:00-05:00
524.6,524.97,524.47,524.62,2016.0,QQQ,2025-01-21 20:40:00+01:00,2025-01-21 14:40:00-05:00
524.64,524.71,524.48,524.6,2562.0,QQQ,2025-01-21 20:45:00+01:00,2025-01-21 14:45:00-05:00
524.64,524.64,524.23,524.59,2520.0,QQQ,2025-01-21 20:50:00+01:00,2025-01-21 14:50:00-05:00
524.62,524.89,524.62,524.86,2031.0,QQQ,2025-01-21 20:55:00+01:00,2025-01-21 14:55:00-05:00
524.89,524.96,524.64,524.88,2173.0,QQQ,2025-01-21 21:00:00+01:00,2025-01-21 15:00:00-05:00
524.89,524.99,524.8,524.91,2223.0,QQQ,2025-01-21 21:05:00+01:00,2025-01-21 15:05:00-05:00
524.93,524.99,524.83,524.91,2121.0,QQQ,2025-01-21 21:10:00+01:00,2025-01-21 15:10:00-05:00
524.91,525.07,524.84,524.94,5788.0,QQQ,2025-01-21 21:15:00+01:00,2025-01-21 15:15:00-05:00
524.93,524.97,524.7,524.9,2109.0,QQQ,2025-01-21 21:20:00+01:00,2025-01-21 15:20:00-05:00
524.91,525.4,524.87,525.35,5098.0,QQQ,2025-01-21 21:25:00+01:00,2025-01-21 15:25:00-05:00
525.35,525.63,525.15,525.17,6137.0,QQQ,2025-01-21 21:30:00+01:00,2025-01-21 15:30:00-05:00
525.15,525.2,524.71,525.14,5554.0,QQQ,2025-01-21 21:35:00+01:00,2025-01-21 15:35:00-05:00
525.16,525.24,524.69,524.76,4946.0,QQQ,2025-01-21 21:40:00+01:00,2025-01-21 15:40:00-05:00
524.79,524.79,524.45,524.61,6028.0,QQQ,2025-01-21 21:45:00+01:00,2025-01-21 15:45:00-05:00
524.6,525.1,524.25,524.92,8425.0,QQQ,2025-01-21 21:50:00+01:00,2025-01-21 15:50:00-05:00
524.89,524.9,524.37,524.66,18847.0,QQQ,2025-01-21 21:55:00+01:00,2025-01-21 15:55:00-05:00
524.67,526.29,523.79,525.78,17924.0,QQQ,2025-01-21 22:00:00+01:00,2025-01-21 16:00:00-05:00
525.8,526.1,524.8,525.67,7484.0,QQQ,2025-01-21 22:05:00+01:00,2025-01-21 16:05:00-05:00
525.75,525.78,525.49,525.66,890.0,QQQ,2025-01-21 22:10:00+01:00,2025-01-21 16:10:00-05:00
525.64,525.83,525.46,525.78,934.0,QQQ,2025-01-21 22:15:00+01:00,2025-01-21 16:15:00-05:00
525.8,525.96,525.76,525.92,528.0,QQQ,2025-01-21 22:20:00+01:00,2025-01-21 16:20:00-05:00
525.96,526.0,525.78,525.89,822.0,QQQ,2025-01-21 22:25:00+01:00,2025-01-21 16:25:00-05:00
525.89,525.92,525.82,525.88,462.0,QQQ,2025-01-21 22:30:00+01:00,2025-01-21 16:30:00-05:00
525.85,525.96,525.83,525.94,783.0,QQQ,2025-01-21 22:35:00+01:00,2025-01-21 16:35:00-05:00
525.96,526.07,525.93,526.02,1266.0,QQQ,2025-01-21 22:40:00+01:00,2025-01-21 16:40:00-05:00
526.06,526.08,526.02,526.07,131.0,QQQ,2025-01-21 22:45:00+01:00,2025-01-21 16:45:00-05:00
526.07,526.07,525.99,526.0,425.0,QQQ,2025-01-21 22:50:00+01:00,2025-01-21 16:50:00-05:00
525.98,526.05,525.95,526.04,823.0,QQQ,2025-01-21 22:55:00+01:00,2025-01-21 16:55:00-05:00
526.04,526.04,526.0,526.0,161.0,QQQ,2025-01-21 23:00:00+01:00,2025-01-21 17:00:00-05:00
525.99,526.07,525.81,526.06,913.0,QQQ,2025-01-21 23:05:00+01:00,2025-01-21 17:05:00-05:00
526.06,526.09,526.0,526.03,229.0,QQQ,2025-01-21 23:10:00+01:00,2025-01-21 17:10:00-05:00
526.05,526.07,526.02,526.04,363.0,QQQ,2025-01-21 23:15:00+01:00,2025-01-21 17:15:00-05:00
526.05,526.1,525.88,525.93,895.0,QQQ,2025-01-21 23:20:00+01:00,2025-01-21 17:20:00-05:00
526.1,526.49,526.08,526.49,699.0,QQQ,2025-01-21 23:25:00+01:00,2025-01-21 17:25:00-05:00
526.5,526.96,526.49,526.8,375.0,QQQ,2025-01-21 23:30:00+01:00,2025-01-21 17:30:00-05:00
526.71,527.25,526.46,527.25,643.0,QQQ,2025-01-21 23:35:00+01:00,2025-01-21 17:35:00-05:00
