threshold_label,min_entry_abs_ret_slot_percentile,futures_symbol,entry_window_minutes,stop_units,time_stop_hours,trade_count,win_rate,median_r,mean_r,total_r,profit_factor,target_rate,stop_rate,time_stop_rate,median_hold_minutes,median_entry_abs_return,median_entry_abs_ret_slot_percentile,median_event_to_entry_minutes,median_anchor_delay_minutes,median_risk_distance_abs_return,median_reward_to_target_r,median_max_adverse_units,median_max_favorable_units,weekend_trade_share
all,0.0,CL,30,0.75,12,1381,0.5235336712527154,0.1785216178521619,0.19846796518807544,274.0842599247322,1.4576403620381537,0.4569152787834902,0.4265025343953657,0.1165821868211441,120.0,0.007005708354955842,0.9298245614035088,878.0,848.0,0.00525428126621684,1.3333333333333333,0.555555555555503,0.8170515097690938,0.5481535119478639
all,0.0,CL,30,0.75,24,1380,0.5159420289855072,0.05031446540880683,0.1912251025703891,263.89064154713697,1.4263308978166274,0.4673913043478261,0.4289855072463768,0.1036231884057971,120.0,0.007005708354955842,0.9298245614035088,878.5,848.5,0.00525428126621684,1.3333333333333333,0.5853658536585087,0.8571428571429731,0.5485507246376812
all,0.0,CL,30,1.0,12,1381,0.5966690803765388,1.0,0.18318979977223307,252.98511348545387,1.5339524904768291,0.5054308472121651,0.3287472845763939,0.165821868211441,155.0,0.007005708354955842,0.9298245614035088,878.0,848.0,0.007005708354955787,1.0,0.555555555555503,1.0,0.5481535119478639
all,0.0,CL,30,1.0,24,1380,0.5985507246376811,1.0,0.18894796808750097,260.74819596075133,1.5287376591018857,0.5173913043478261,0.3391304347826087,0.14347826086956522,155.0,0.007005708354955842,0.9298245614035088,878.5,848.5,0.007005708354955787,1.0,0.5853658536585087,1.0,0.5485507246376812
all,0.0,CL,60,0.75,12,1381,0.5278783490224475,0.12991452991452818,0.1311063759003954,181.05790511844603,1.294036411909126,0.40333091962346124,0.4388124547429399,0.15785662563359884,115.0,0.007226382866903025,0.8363636363636363,908.0,848.0,0.005419787150177347,1.3333333333333333,0.5882352941176077,0.7263157894736797,0.5481535119478639
all,0.0,CL,60,0.75,24,1380,0.5021739130434782,0.06247423894482853,0.11829195734963217,163.2429011424924,1.2477790842885954,0.4144927536231884,0.47246376811594204,0.11304347826086956,117.5,0.007226382866903025,0.8363636363636363,908.5,848.5,0.005419787150177347,1.3333333333333333,0.6000000000000042,0.7980392156862741,0.5485507246376812
all,0.0,CL,60,1.0,12,1381,0.5901520637219406,0.2568306010928958,0.10932276029943515,150.97473197351994,1.2909551983451468,0.4525706010137581,0.3613323678493845,0.18609703113685735,130.0,0.007226382866903025,0.8363636363636363,908.0,848.0,0.007226382866903129,1.0,0.5882352941176077,0.853333333333334,0.5481535119478639
all,0.0,CL,60,1.0,24,1380,0.5652173913043478,0.6222222222222273,0.0986959197357283,136.20036923530506,1.2422814328284215,0.4731884057971015,0.3847826086956522,0.14202898550724638,130.0,0.007226382866903025,0.8363636363636363,908.5,848.5,0.007226382866903129,1.0,0.6000000000000042,0.8995535714285678,0.5485507246376812
all,0.0,CL,90,0.75,12,1371,0.5251641137855579,0.08523592085235937,0.11966447046273929,164.05998900441557,1.2662832278915064,0.3887673231218089,0.43544857768052514,0.17578409919766594,120.0,0.0070372976776917895,0.7818181818181819,932.0,842.0,0.005277973258268825,1.3333333333333333,0.5511111111111151,0.7560975609756094,0.5426695842450766
all,0.0,CL,90,0.75,24,1370,0.5087591240875913,0.035874439461884934,0.11021581859110921,150.99567146981963,1.2271363231467125,0.40072992700729926,0.472992700729927,0.12627737226277372,120.0,0.0070372976776917895,0.7818181818181819,933.0,843.0,0.005277973258268825,1.3333333333333333,0.6290355125100955,0.820151679306608,0.5430656934306569
