threshold_label,min_entry_abs_ret_slot_percentile,futures_symbol,trade_count,win_rate,median_r,mean_r,total_r,profit_factor,target_rate,stop_rate,time_stop_rate,median_hold_minutes,median_entry_abs_return,median_entry_abs_ret_slot_percentile,median_event_to_entry_minutes,median_anchor_delay_minutes,median_risk_distance_abs_return,median_reward_to_target_r,median_max_adverse_units,median_max_favorable_units,weekend_trade_share
all,0.0,CL,16526,0.5581507926903062,0.3709677419354876,0.15273154855364734,2524.041571397576,1.372473370144291,0.45631126709427566,0.39446932106982935,0.14921941183589496,125.0,0.007072135785006983,0.8360655737704918,908.0,848.0,0.006033969010726966,1.1666666666666665,0.5882352941176355,0.8645833333333371,0.5465327362943241
all,0.0,MES,16566,0.5254738621272486,0.42072630646590037,0.14049555767838517,2327.449408500129,1.32636616345501,0.47730290957382593,0.4090909090909091,0.113606181335265,210.0,0.003399048266485405,0.9661016949152542,910.0,848.0,0.002921160760143709,1.1666666666666665,0.6603773584905576,1.0,0.5483520463600144
all,0.0,MNQ,16602,0.6129382002168413,1.0,0.3273164975275241,5434.108491951955,1.9071572299414252,0.5923985062040718,0.34489820503553786,0.06270328876039032,180.0,0.004685754306391732,0.9661016949152542,905.0,845.0,0.004028577446987711,1.1666666666666665,0.558035714285712,1.032812500000006,0.547162992410553
p80,0.8,CL,8904,0.5635669362084457,0.14146341463414266,0.12107779190441335,1078.0766591168965,1.3208146172327961,0.37567385444743934,0.34849505840071876,0.27583108715184185,265.0,0.012737999463663163,0.9649122807017544,1006.5,944.0,0.011127772077973299,1.1666666666666665,0.49099099099098636,0.8110091743119265,0.5655884995507637
p80,0.8,MES,12552,0.5415073295092415,0.4680851063829762,0.1779357400016116,2233.449408500229,1.4444316919705522,0.477931803696622,0.372131931166348,0.14993626513702996,280.0,0.004515865943725439,0.9830508474576272,1115.0,1060.0,0.00398891316781303,1.1666666666666665,0.5776566757493086,1.0,0.607074569789675
p80,0.8,MNQ,12752,0.6519761606022585,1.0,0.4143151338762592,5283.346587190057,2.320090495997905,0.6257057716436637,0.2931304893350063,0.08116373902132999,210.0,0.005965432735715259,0.9830508474576272,1100.5,1041.0,0.005246948785217151,1.1666666666666665,0.5067024128686266,1.034965034965003,0.5997490589711418
p90,0.9,CL,7280,0.6001373626373626,0.2074074074074021,0.1794821557121999,1306.630093584815,1.542577388035345,0.37403846153846154,0.29642857142857143,0.32953296703296703,305.0,0.015506856337305974,0.9824561403508771,1168.5,1108.5,0.013561703047330835,1.1666666666666665,0.46153846153846256,0.8131868131868262,0.6368131868131868
p90,0.9,MES,10236,0.5600820633059789,0.5609684086212005,0.2206053219193916,2258.1160751668926,1.5984292324012361,0.48212192262602577,0.33401719421649084,0.1838608831574834,325.0,0.005470315493864231,0.9836065573770492,1157.0,1093.0,0.004796517922880434,1.1666666666666665,0.5637065637065269,1.0,0.6186010160218836
p90,0.9,MNQ,10380,0.6416184971098265,1.0,0.39460628649872165,4096.01325385673,2.247164390577516,0.609344894026975,0.2909441233140655,0.09971098265895954,210.0,0.006629047279899103,1.0,1166.0,1101.0,0.006152088772846109,1.1666666666666665,0.5067024128686266,1.034965034965003,0.6373795761078999
