threshold_label,min_entry_abs_ret_slot_percentile,futures_symbol,entry_window_minutes,stop_units,time_stop_hours,trade_count,win_rate,median_r,mean_r,total_r,profit_factor,target_rate,stop_rate,time_stop_rate,median_hold_minutes,median_entry_abs_return,median_entry_abs_ret_slot_percentile,median_event_to_entry_minutes,median_anchor_delay_minutes,median_risk_distance_abs_return,median_reward_to_target_r,median_max_adverse_units,median_max_favorable_units,weekend_trade_share,selection_rule
p90,0.9,CL,90,1.0,12,481,0.7089397089397089,0.28491620111731464,0.24847403433259765,119.51601051397947,2.3442363356768228,0.33264033264033266,0.14345114345114346,0.5239085239085239,720.0,0.023563218390804663,0.9824561403508771,1226.0,1136.0,0.023563218390804608,1.0,0.31707317073170477,0.7560975609756094,0.6382536382536382,highest_mean_r_then_win_rate_then_trade_count_among_p80_p90_with_n>=30
p90,0.9,MES,60,0.75,24,807,0.5390334572490706,0.7363494539781605,0.2804156261132558,226.29541027339747,1.7209930067387869,0.4708798017348203,0.35192069392812886,0.1771995043370508,330.0,0.0059827527183216045,1.0,1137.0,1077.0,0.004487064538741266,1.3333333333333333,0.5573529411764857,1.0,0.6084262701363073,highest_mean_r_then_win_rate_then_trade_count_among_p80_p90_with_n>=30
p90,0.9,MNQ,60,0.75,24,847,0.667060212514758,1.3333333333333333,0.5280816554227455,447.28516214306546,2.6844126429349515,0.6221959858323495,0.30460448642266824,0.07319952774498228,180.0,0.00723619389123098,1.0,1209.0,1149.0,0.005427145418423243,1.3333333333333333,0.45275805570726624,1.0253807106598751,0.6458087367178277,highest_mean_r_then_win_rate_then_trade_count_among_p80_p90_with_n>=30
