threshold_label,min_entry_abs_ret_slot_percentile,futures_symbol,event_day_bucket,entry_window_minutes,stop_units,time_stop_hours,trade_count,win_rate,median_r,mean_r,total_r,profit_factor,target_rate,stop_rate,time_stop_rate,median_hold_minutes,median_entry_abs_return,median_entry_abs_ret_slot_percentile,median_event_to_entry_minutes,median_anchor_delay_minutes,median_risk_distance_abs_return,median_reward_to_target_r,median_max_adverse_units,median_max_favorable_units,weekend_trade_share
all,0.0,CL,weekday,30,0.75,12,624,0.45032051282051283,-0.9999999999999529,0.04576050806813497,28.55455703451622,1.0878867603001432,0.4150641025641026,0.5160256410256411,0.06891025641025642,85.0,0.006467743175999352,0.8813559322033898,413.5,383.5,0.004850807381999478,1.3333333333333333,0.7500000000000444,0.7564983888292227,0.0
all,0.0,CL,weekday,30,0.75,24,623,0.4478330658105939,-0.9999999999999408,0.0449716738168224,28.017352787880355,1.085566683615069,0.42215088282504015,0.5152487961476726,0.06260032102728733,85.0,0.006488824801730186,0.8813559322033898,414.0,384.0,0.004866618601297642,1.3333333333333333,0.7500000000000444,0.7586206896551894,0.0
all,0.0,CL,weekday,30,1.0,12,624,0.5176282051282052,0.13389121338912144,0.04573033501826769,28.535729051399038,1.1054337462033876,0.46634615384615385,0.42467948717948717,0.10897435897435898,105.0,0.006467743175999352,0.8813559322033898,413.5,383.5,0.006467743175999304,1.0,0.8064449064449151,0.8768472906404503,0.0
all,0.0,CL,weekday,30,1.0,24,623,0.5232744783306581,0.3846153846153808,0.05079186732169053,31.6433333414132,1.1152168984699538,0.4767255216693419,0.4301765650080257,0.09309791332263243,105.0,0.006488824801730186,0.8813559322033898,414.0,384.0,0.00648882480173019,1.0,0.8000000000000143,0.9117647058823505,0.0
all,0.0,CL,weekday,60,0.75,12,624,0.46153846153846156,-0.9999999999997632,0.020518430960737674,12.803500919500308,1.0400858434354263,0.38301282051282054,0.5032051282051282,0.11378205128205128,100.0,0.006793487242107821,0.8032786885245902,443.5,383.5,0.0050951154315809,1.3333333333333333,0.7500000000000149,0.7180060323258992,0.0
all,0.0,CL,weekday,60,0.75,24,623,0.4462279293739968,-0.9999999999999661,0.015176127548408422,9.454727462658447,1.028418654861009,0.391653290529695,0.5280898876404494,0.08025682182985554,100.0,0.006791800444554186,0.8032786885245902,444.0,384.0,0.0050938503334156315,1.3333333333333333,0.7555555555555583,0.7656765676567678,0.0
all,0.0,CL,weekday,60,1.0,12,624,0.5368589743589743,0.1555555555555516,0.043582173625067805,27.19527634204231,1.1028662745204,0.44551282051282054,0.41185897435897434,0.14262820512820512,120.0,0.006793487242107821,0.8032786885245902,443.5,383.5,0.006793487242107866,1.0,0.7592592592592642,0.8594924812030069,0.0
all,0.0,CL,weekday,60,1.0,24,623,0.5232744783306581,0.2615384615384638,0.0315491395332035,19.65511392918578,1.0702559685874475,0.4590690208667737,0.434991974317817,0.10593900481540931,120.0,0.006791800444554186,0.8032786885245902,444.0,384.0,0.006791800444554175,1.0,0.830188679245277,0.9062499999999966,0.0
all,0.0,CL,weekday,90,0.75,12,627,0.529505582137161,0.1886178861788569,0.177974265609897,111.5898645374054,1.402091617541864,0.4370015948963317,0.430622009569378,0.13237639553429026,115.0,0.007154116648478315,0.7818181818181819,473.0,383.0,0.005365587486358707,1.3333333333333333,0.6271186440678007,0.8852459016393553,0.0
all,0.0,CL,weekday,90,0.75,24,626,0.5207667731629393,0.21978021978022086,0.17091757227692378,106.99440024535429,1.366238459653873,0.4472843450479233,0.45527156549520764,0.09744408945686901,115.0,0.007154116648478315,0.7818181818181819,473.5,383.5,0.005365587486358707,1.3333333333333333,0.6271186440678007,0.9042119565217357,0.0
all,0.0,CL,weekday,90,1.0,12,627,0.6156299840510366,1.0,0.2072240606430354,129.9294860231832,1.6108726956019725,0.5151515151515151,0.3253588516746411,0.1594896331738437,145.0,0.007154116648478315,0.7818181818181819,473.0,383.0,0.007154116648478276,1.0,0.6271186440678007,1.0,0.0
all,0.0,CL,weekday,90,1.0,24,626,0.6070287539936102,1.0,0.19431798696103506,121.64305983760794,1.5269869259205993,0.5319488817891374,0.3450479233226837,0.12300319488817892,145.0,0.007154116648478315,0.7818181818181819,473.5,383.5,0.007154116648478276,1.0,0.6271186440678007,1.0,0.0
all,0.0,CL,weekend,30,0.75,12,757,0.583883751651255,0.7909356725146189,0.324345710555107,245.52970289021602,1.8960747028566949,0.4914134742404227,0.3527080581241744,0.15587846763540292,140.0,0.007776261937244122,0.9473684210526315,1842.0,1812.0,0.005832196452933082,1.3333333333333333,0.3962264150943359,0.8965517241379276,1.0
all,0.0,CL,weekend,30,0.75,24,757,0.571994715984148,1.3333333333333333,0.31158954921962567,235.87328875925664,1.809038026066426,0.5046235138705416,0.3579920739762219,0.13738441215323646,140.0,0.007776261937244122,0.9473684210526315,1842.0,1812.0,0.005832196452933082,1.3333333333333333,0.46666666666669615,1.0,1.0
all,0.0,CL,weekend,30,1.0,12,757,0.6618229854689565,1.0,0.2964985263329654,224.44938443405482,2.104866079374581,0.5376486129458389,0.24966974900924702,0.21268163804491413,180.0,0.007776261937244122,0.9473684210526315,1842.0,1812.0,0.007776261937244109,1.0,0.3962264150943359,1.0,1.0
