threshold_label,min_entry_abs_ret_slot_percentile,futures_symbol,entry_window_minutes,stop_units,time_stop_hours,trade_count,win_rate,median_r,mean_r,total_r,profit_factor,target_rate,stop_rate,time_stop_rate,median_hold_minutes,median_entry_abs_return,median_entry_abs_ret_slot_percentile,median_event_to_entry_minutes,median_anchor_delay_minutes,median_risk_distance_abs_return,median_reward_to_target_r,median_max_adverse_units,median_max_favorable_units,weekend_trade_share,ranking_bucket
p90,0.9,MNQ,60,0.75,24,847,0.667060212514758,1.3333333333333333,0.5280816554227455,447.28516214306546,2.6844126429349515,0.6221959858323495,0.30460448642266824,0.07319952774498228,180.0,0.00723619389123098,1.0,1209.0,1149.0,0.005427145418423243,1.3333333333333333,0.45275805570726624,1.0253807106598751,0.6458087367178277,best
p80,0.8,MNQ,60,0.75,24,1063,0.6575729068673566,1.3333333333333333,0.5117138558887404,543.9518288097311,2.5651321890122727,0.6218250235183443,0.3198494825964252,0.05832549388523048,180.0,0.005828751287182632,1.0,1081.0,1021.0,0.0043715634653869314,1.3333333333333333,0.45275805570726624,1.0258620689654931,0.5888993414863594,best
p90,0.9,MNQ,60,0.75,12,847,0.6269185360094451,1.3333333333333333,0.5107539741616077,432.6086161148818,2.598020657048243,0.6221959858323495,0.30460448642266824,0.07319952774498228,180.0,0.00723619389123098,1.0,1209.0,1149.0,0.005427145418423243,1.3333333333333333,0.45275805570726624,1.0253807106598751,0.6458087367178277,best
p80,0.8,MNQ,60,0.75,12,1063,0.625587958607714,1.3333333333333333,0.4979071333786898,529.2752827815473,2.5005737111287183,0.6218250235183443,0.3198494825964252,0.05832549388523048,180.0,0.005828751287182632,1.0,1081.0,1021.0,0.0043715634653869314,1.3333333333333333,0.45275805570726624,1.0258620689654931,0.5888993414863594,best
p80,0.8,MNQ,60,1.0,24,1063,0.7328316086547507,1.0,0.46158625451288016,490.6661885471916,2.9182874262582734,0.6942615239887112,0.21919096895578552,0.08654750705550329,180.0,0.005828751287182632,1.0,1081.0,1021.0,0.0058287512871825755,1.0,0.45275805570726624,1.0566502463054233,0.5888993414863594,best
p80,0.8,MNQ,90,1.0,24,1013,0.7137216189536032,1.0,0.4522677626190428,458.1472435330903,2.89657222507089,0.6752221125370188,0.2102665350444225,0.11451135241855874,150.0,0.006214357439230156,0.9538461538461539,1131.0,1041.0,0.006214357439230191,1.0,0.5,1.0503355704698008,0.6031589338598223,best
p90,0.9,MNQ,60,1.0,24,847,0.7272727272727273,1.0,0.44942879403446473,380.6661885471916,2.8772053451556414,0.6788665879574971,0.21251475796930341,0.10861865407319952,185.0,0.00723619389123098,1.0,1209.0,1149.0,0.00723619389123099,1.0,0.45275805570726624,1.0611764705882332,0.6458087367178277,best
p90,0.9,MNQ,30,1.0,24,1002,0.7235528942115769,1.0,0.4458154123078026,446.70704313241816,2.78920234799039,0.687624750499002,0.2275449101796407,0.08483033932135728,215.0,0.0060735851706219535,1.0,1175.5,1145.5,0.006073585170621968,1.0,0.5857359635811829,1.045454545454579,0.6467065868263473,best
p80,0.8,MNQ,60,1.0,12,1063,0.6980244590780809,1.0,0.4388698018787484,466.51859939710954,2.8029170503570167,0.6801505174035748,0.21919096895578552,0.1006585136406397,180.0,0.005828751287182632,1.0,1081.0,1021.0,0.0058287512871825755,1.0,0.45275805570726624,1.045454545454579,0.5888993414863594,best
p80,0.8,MNQ,30,1.0,24,1112,0.7185251798561151,1.0,0.4358876287162034,484.70704313241816,2.696747959773365,0.6861510791366906,0.23741007194244604,0.0764388489208633,210.0,0.005874673629242766,0.9833287024173382,1089.5,1059.5,0.005874673629242857,1.0,0.5857359635811829,1.0435097897026848,0.6070143884892086,best
