strategy_name,family,horizon_hours,threshold_label,min_entry_abs_ret_60m_slot_percentile,timing_regime,trade_count,win_rate,median_r,mean_r,total_r,profit_factor,median_entry_abs_return,median_entry_abs_ret_60m_slot_percentile,contained_within_0_5x_shock_rate_24h,contained_within_1_0x_shock_rate_24h,median_adverse_extension_units_24h,median_favorable_extension_units_24h,contained_within_0_5x_shock_rate_72h,contained_within_1_0x_shock_rate_72h,median_adverse_extension_units_72h,median_favorable_extension_units_72h
fade_credit_24h,credit_spread_proxy,24,all,0.0,immediate,10875,0.5718620689655173,0.5384615384615384,-0.10744825866930749,-1168.499813028719,0.7371084129984153,0.0018589179140984236,0.532258064516129,0.1628505747126437,0.24901149425287356,3.4285714285714026,3.535714285714304,,,,
fade_credit_24h,credit_spread_proxy,24,all,0.0,delayed,8266,0.7160658117590128,0.5384615384615384,0.12411166206105755,1025.9069985967017,1.5127465780516802,0.0065115948971805615,0.9491525423728814,0.307161867892572,0.4974594725381079,1.0156250000000053,1.2800000000000011,,,,
fade_credit_24h,credit_spread_proxy,24,p80,0.8,immediate,2488,0.6446945337620579,0.5384615384615384,0.011079938762462735,27.566887641007284,1.034214282534507,0.006354970640272906,0.9,0.2684887459807074,0.422427652733119,1.3189269746646923,1.386954724261481,,,,
fade_credit_24h,credit_spread_proxy,24,p80,0.8,delayed,6057,0.7635793297011721,0.5384615384615384,0.20242404775109546,1226.0824572283852,2.0954710368697214,0.009570044022202517,0.9830508474576272,0.3859996698035331,0.6014528644543503,0.7407407407407393,0.9166666666666656,,,,
fade_credit_24h,credit_spread_proxy,24,p90,0.9,immediate,1256,0.6751592356687898,0.5384615384615384,0.057180178509638704,71.81830420810621,1.1949131843051202,0.00907993009783531,0.9538461538461539,0.29856687898089174,0.47611464968152867,1.0841503267974275,1.1815250911129742,,,,
fade_credit_24h,credit_spread_proxy,24,p90,0.9,delayed,4874,0.7732868280672959,0.5384615384615384,0.22280166475804244,1085.935314030699,2.3294100457097744,0.012151067323481146,0.9846153846153847,0.4140336479277801,0.6473122691834222,0.689320388349517,0.8135593220338992,,,,
fade_credit_72h,credit_spread_proxy,72,all,0.0,immediate,10798,0.5482496758659011,0.5384615384615384,-0.145758928204755,-1573.9049067549445,0.6656122399899445,0.0018596126247591438,0.532258064516129,,,,,0.10446378959066493,0.16651231709575848,6.05572755417951,6.141048824592827
fade_credit_72h,credit_spread_proxy,72,all,0.0,delayed,8242,0.6223004125212327,0.5384615384615384,-0.015954532911448053,-131.49726025615485,0.9528744390626167,0.006528189910979254,0.9491525423728814,,,,,0.16901237563698132,0.29652996845425866,1.9708029197080144,2.1843971631206056
fade_credit_72h,credit_spread_proxy,72,p80,0.8,immediate,2468,0.6017017828200972,0.5384615384615384,-0.05755626882107129,-142.04887145040394,0.8451197752483542,0.006356549834141079,0.9,,,,,0.17949756888168558,0.2909238249594814,2.3714568459743974,2.533124318429655
fade_credit_72h,credit_spread_proxy,72,p80,0.8,delayed,6046,0.6501819384717168,0.5384615384615384,0.03413013250368508,206.35078111727998,1.1138053988277357,0.009570044022202517,0.9830508474576272,,,,,0.21055243135957658,0.36172676149520344,1.4827376232015395,1.5473568281938317
fade_credit_72h,credit_spread_proxy,72,p90,0.9,immediate,1245,0.6321285140562249,0.5384615384615384,-0.006249976840537486,-7.7812211664691695,0.9813404071297337,0.009083268683734214,0.9538461538461539,,,,,0.20722891566265061,0.3461847389558233,1.8643410852713251,1.999999999999858
fade_credit_72h,credit_spread_proxy,72,p90,0.9,delayed,4866,0.6611179613645705,0.5384615384615384,0.046823900163581574,227.84509819598793,1.1614155193667306,0.012151067323481146,0.9846153846153847,,,,,0.22893547061241265,0.4005343197698315,1.3255813953488291,1.3356164383561688
fade_debit_24h,debit_spread_proxy,24,all,0.0,immediate,10875,0.5033563218390804,0.058441558441578334,0.009022688669859091,98.12173928471762,1.0198387669878315,0.0018589179140984236,0.532258064516129,0.1628505747126437,0.24901149425287356,3.4285714285714026,3.535714285714304,,,,
fade_debit_24h,debit_spread_proxy,24,all,0.0,delayed,8266,0.5281877570771837,0.13498622589531947,0.06557945524809451,542.0797770807492,1.182914050227132,0.0065115948971805615,0.9491525423728814,0.307161867892572,0.4974594725381079,1.0156250000000053,1.2800000000000011,,,,
fade_debit_24h,debit_spread_proxy,24,p80,0.8,immediate,2488,0.5168810289389068,0.1125374812593648,0.026745942585949124,66.54390515384142,1.0658938122676576,0.006354970640272906,0.9,0.2684887459807074,0.422427652733119,1.3189269746646923,1.386954724261481,,,,
