strategy_name,family,horizon_hours,threshold_label,min_entry_abs_ret_60m_slot_percentile,timing_regime,topic_bucket,symbol,trade_count,win_rate,median_r,mean_r,total_r,profit_factor,median_entry_abs_return,median_entry_abs_ret_60m_slot_percentile,contained_within_0_5x_shock_rate_24h,contained_within_1_0x_shock_rate_24h,median_adverse_extension_units_24h,median_favorable_extension_units_24h,contained_within_0_5x_shock_rate_72h,contained_within_1_0x_shock_rate_72h,median_adverse_extension_units_72h,median_favorable_extension_units_72h,ranking_bucket
long_straddle_72h,long_vol_proxy,72,p80,0.8,delayed,tariffs_trade,QQQ,30,0.8,1.4615194462755365,1.7414361199434458,52.24308359830337,16.9521245755511,0.005753447373057163,1.0,,,,,0.16666666666666666,0.43333333333333335,1.3504432289702053,2.276297335203354,best
long_straddle_72h,long_vol_proxy,72,p80,0.8,delayed,war_geopolitics,UNG,85,0.6588235294117647,1.5384615384615237,1.5602076843606232,132.61765317065297,11.234164490719465,0.016178736517719616,1.0,,,,,0.16470588235294117,0.2235294117647059,2.3749999999999916,1.0454545454545443,best
long_straddle_72h,long_vol_proxy,72,p90,0.9,delayed,war_geopolitics,UNG,83,0.6506024096385542,1.4661016949152548,1.5104536526584693,125.36765317065296,10.674678699923286,0.019538188277087087,1.0,,,,,0.1686746987951807,0.2289156626506024,2.3749999999999916,0.9411764705882464,best
long_straddle_72h,long_vol_proxy,72,p80,0.8,delayed,domestic_politics_attacks,UNG,88,0.6818181818181818,0.8110119047619053,1.3579581535822696,119.50031751523973,7.791342062006034,0.01649272960339765,1.0,,,,,0.22727272727272727,0.36363636363636365,1.8783783783783785,1.443055555555551,best
long_straddle_72h,long_vol_proxy,72,p80,0.8,delayed,immigration_border,QQQ,31,0.7096774193548387,0.42010309278350455,1.2435238046370525,38.54923794374863,9.051460238242727,0.0055414620103990675,1.0,,,,,0.22580645161290322,0.3870967741935484,1.0478723404254886,1.771349862258973,best
long_straddle_24h,long_vol_proxy,24,p80,0.8,delayed,war_geopolitics,UNG,86,0.7325581395348837,0.657142857142859,1.2286401926190893,105.66305656524169,11.64969448399561,0.01577576333956704,1.0,0.26744186046511625,0.4069767441860465,1.3823529411764783,0.933333333333346,,,,,best
long_straddle_24h,long_vol_proxy,24,p90,0.9,delayed,war_geopolitics,UNG,84,0.7380952380952381,0.657142857142859,1.2215840067290662,102.61305656524156,12.188010361340393,0.017858462397403352,1.0,0.27380952380952384,0.4166666666666667,1.3093582887700563,0.8897435897435981,,,,,best
long_straddle_72h,long_vol_proxy,72,p90,0.9,delayed,war_geopolitics,SPY,71,0.676056338028169,0.29207920792077413,1.1941434619688043,84.7841857997851,8.77548991135914,0.0059827527183216045,1.0,,,,,0.2676056338028169,0.4084507042253521,1.3371428571428754,1.4453280318091493,best
long_straddle_72h,long_vol_proxy,72,p80,0.8,delayed,war_geopolitics,SPY,90,0.7111111111111111,0.29207920792077413,1.1352750072091133,102.17475064882021,8.815419388126475,0.005909110854334654,0.9923076923076923,,,,,0.23333333333333334,0.34444444444444444,1.5741332058635886,1.8838709677418994,best
long_straddle_72h,long_vol_proxy,72,p80,0.8,delayed,war_geopolitics,USO,63,0.7142857142857143,0.17647058823529282,1.1343859865556265,71.46631715300447,14.441409482684044,0.02463799438080838,1.0,,,,,0.30158730158730157,0.49206349206349204,1.0185185185185148,1.5473568281938317,best
long_straddle_72h,long_vol_proxy,72,p90,0.9,delayed,domestic_politics_attacks,UNG,81,0.654320987654321,0.777777777777747,1.1282618074583783,91.38920640412864,6.193754915224879,0.01866666666666661,1.0,,,,,0.20987654320987653,0.35802469135802467,2.3913043478260856,1.3333333333333333,best
long_straddle_72h,long_vol_proxy,72,p80,0.8,delayed,domestic_politics_attacks,GLD,87,0.5977011494252874,0.393274853801179,1.0996462709031205,95.66922556857149,7.041747613340988,0.00786418400876232,0.9830508474576272,,,,,0.06896551724137931,0.3563218390804598,1.167630057803481,1.118279569892487,best
long_straddle_72h,long_vol_proxy,72,p80,0.8,delayed,domestic_politics_attacks,SPY,84,0.5833333333333334,0.560872180009983,1.0909571305252084,91.6403989641175,6.311697458095903,0.005030432826819142,0.9836065573770492,,,,,0.21428571428571427,0.34523809523809523,1.349890109890148,2.0256918290486263,best
long_straddle_72h,long_vol_proxy,72,p80,0.8,delayed,war_geopolitics,QQQ,90,0.6444444444444445,0.5833333333333333,1.0650407152295995,95.85366437066395,6.154753073911618,0.007251817875847999,1.0,,,,,0.28888888888888886,0.4,1.2176079734219374,1.5987654320988016,best
long_straddle_72h,long_vol_proxy,72,p80,0.8,delayed,domestic_politics_attacks,QQQ,85,0.611764705882353,0.6925972396486828,1.0568052057752384,89.82844249089526,6.112079130449478,0.005966993998908876,1.0,,,,,0.2,0.3411764705882353,1.4516129032258123,1.771349862258973,best
long_straddle_72h,long_vol_proxy,72,p80,0.8,delayed,immigration_border,SPY,30,0.5666666666666667,0.0407921412401564,1.0309653312897584,30.928959938692753,6.24755743779256,0.004697844976330745,0.9830508474576272,,,,,0.23333333333333334,0.3333333333333333,1.3058953722333575,1.5206291321836596,best
long_straddle_72h,long_vol_proxy,72,p90,0.9,delayed,war_geopolitics,SLV,69,0.5072463768115942,0.2734375000000009,0.9927011721305199,68.49638087700588,5.9566870362596305,0.017108352901710755,0.9830508474576272,,,,,0.2608695652173913,0.463768115942029,1.2698412698412858,1.5270270270270314,best
long_straddle_72h,long_vol_proxy,72,p90,0.9,delayed,war_geopolitics,USO,58,0.6896551724137931,0.06078431372549353,0.9901956983819225,57.4313505061515,11.801708133973468,0.02463799438080838,1.0,,,,,0.3103448275862069,0.5172413793103449,0.8964603283173715,1.5473568281938317,best
long_straddle_72h,long_vol_proxy,72,p80,0.8,delayed,war_geopolitics,SLV,83,0.5301204819277109,0.42307692307691824,0.9808442322464321,81.41007127645386,5.535526771367371,0.014462809917355157,0.9830508474576272,,,,,0.2289156626506024,0.39759036144578314,1.6521739130434299,1.7450980392156943,best
long_straddle_72h,long_vol_proxy,72,p80,0.8,delayed,tariffs_trade,SLV,32,0.5625,0.370774130328268,0.966662393546539,30.93319659348925,6.018408665632068,0.01191344574965264,0.9745762711864407,,,,,0.1875,0.34375,1.7766546662974019,1.269522305566523,best
