strategy_name,family,horizon_hours,threshold_label,min_entry_abs_ret_60m_slot_percentile,timing_regime,symbol,trade_count,win_rate,median_r,mean_r,total_r,profit_factor,median_entry_abs_return,median_entry_abs_ret_60m_slot_percentile,contained_within_0_5x_shock_rate_24h,contained_within_1_0x_shock_rate_24h,median_adverse_extension_units_24h,median_favorable_extension_units_24h,contained_within_0_5x_shock_rate_72h,contained_within_1_0x_shock_rate_72h,median_adverse_extension_units_72h,median_favorable_extension_units_72h
fade_credit_24h,credit_spread_proxy,24,all,0.0,immediate,GLD,1846,0.5796316359696642,0.5384615384615384,-0.09512545340327572,-175.60158698244697,0.7628432395037253,0.0013186994389050577,0.5076923076923077,0.1635969664138678,0.24972914409534128,3.8000000000002423,3.855400696864265,,,,
fade_credit_24h,credit_spread_proxy,24,all,0.0,immediate,QQQ,1852,0.5583153347732182,0.5384615384615384,-0.12881162015319447,-238.55912052371616,0.6953304869467165,0.0012803428358164615,0.5230769230769231,0.14578833693304535,0.23110151187904968,3.675757575757641,3.6825757575756244,,,,
fade_credit_24h,credit_spread_proxy,24,all,0.0,immediate,SLV,1776,0.5850225225225225,0.5384615384615384,-0.08774016524009895,-155.82653346641573,0.7786353127835594,0.002266111473023802,0.515625,0.16835585585585586,0.268018018018018,3.4722222222219514,3.666666666666509,,,,
fade_credit_24h,credit_spread_proxy,24,all,0.0,immediate,SPY,1850,0.5664864864864865,0.5384615384615384,-0.11725925676434817,-216.92962501404412,0.716943037194517,0.0010000427019387081,0.5254237288135594,0.1535135135135135,0.22054054054054054,3.421580671580413,3.552882072977643,,,,
fade_credit_24h,credit_spread_proxy,24,all,0.0,immediate,UNG,1760,0.5738636363636364,0.5384615384615384,-0.10166071164904275,-178.92285250231524,0.7486578484334498,0.004659108669603285,0.5806451612903226,0.17727272727272728,0.2676136363636364,2.9999999999999876,3.285714285714266,,,,
fade_credit_24h,credit_spread_proxy,24,all,0.0,immediate,USO,1791,0.5683975432719152,0.5384615384615384,-0.11315471498591895,-202.66009453978083,0.7258221421437901,0.0025544703230653276,0.5538461538461539,0.16973757677275264,0.25907314349525407,3.181818181818211,3.26829268292683,,,,
fade_credit_24h,credit_spread_proxy,24,all,0.0,delayed,GLD,1383,0.6688358640636298,0.5384615384615384,0.05470112358503225,75.6516539180996,1.1922926711256774,0.005882225261010121,0.9491525423728814,0.2762111352133044,0.4924078091106291,1.042735042735052,1.0285714285714564,,,,
fade_credit_24h,credit_spread_proxy,24,all,0.0,delayed,QQQ,1383,0.8228488792480115,0.5384615384615384,0.2518097103829421,348.2528294596089,2.5436952179882955,0.004886117342864704,0.9838709677419355,0.35502530730296455,0.5560375994215474,0.892682926829308,1.4504504504504911,,,,
fade_credit_24h,credit_spread_proxy,24,all,0.0,delayed,SLV,1376,0.6962209302325582,0.5384615384615384,0.09202966564938521,126.63281993355405,1.354534910392328,0.00999432140829093,0.9491525423728814,0.2921511627906977,0.4876453488372093,1.0666666666666693,1.066666666666665,,,,
fade_credit_24h,credit_spread_proxy,24,all,0.0,delayed,SPY,1379,0.7635968092820885,0.5384615384615384,0.19153417569553918,264.12562828414855,1.9219290776030786,0.0033630798731471012,0.9672131147540983,0.3488034807831762,0.5257432922407542,0.9762376237623976,1.5139125496876744,,,,
fade_credit_24h,credit_spread_proxy,24,all,0.0,delayed,UNG,1365,0.6263736263736264,0.5384615384615384,0.012617214053814657,17.22249718345701,1.0416146627889054,0.014233241505968719,0.9814814814814815,0.263003663003663,0.4512820512820513,1.1666666666666963,1.2758620689655173,,,,
fade_credit_24h,credit_spread_proxy,24,all,0.0,delayed,USO,1380,0.717391304347826,0.5384615384615384,0.14059534044770547,194.02156981783355,1.5983482169315855,0.007226382866903025,0.8363636363636363,0.3072463768115942,0.47101449275362317,1.098039215686268,1.6984126984126842,,,,
fade_credit_24h,credit_spread_proxy,24,p80,0.8,immediate,GLD,402,0.6766169154228856,0.5384615384615384,0.05696859169725257,22.901373862295532,1.1939127154306668,0.004527613864334756,0.8983050847457628,0.2562189054726368,0.44776119402985076,1.255597014925398,1.3647839484558064,,,,
fade_credit_24h,credit_spread_proxy,24,p80,0.8,immediate,QQQ,418,0.6267942583732058,0.5384615384615384,-0.014050201184330154,-5.872984095050004,0.9590989040338542,0.004904404113675986,0.9008196721311476,0.2535885167464115,0.4090909090909091,1.3912930213170953,1.3891709697163055,,,,
fade_credit_24h,credit_spread_proxy,24,p80,0.8,immediate,SLV,351,0.6410256410256411,0.5384615384615384,0.01250482413251216,4.389193270511768,1.0394684997372547,0.009207240948813977,0.9016393442622951,0.26495726495726496,0.4017094017094017,1.43478260869562,1.2898550724637599,,,,
fade_credit_24h,credit_spread_proxy,24,p80,0.8,immediate,SPY,422,0.6611374407582938,0.5384615384615384,0.032798150194696125,13.840819382161765,1.1066501805066766,0.003929897777293467,0.9076923076923077,0.26303317535545023,0.4004739336492891,1.2945508047425496,1.3661957033351642,,,,
fade_credit_24h,credit_spread_proxy,24,p80,0.8,immediate,UNG,450,0.6466666666666666,0.5384615384615384,0.016063589795406955,7.2286154079331295,1.0499026827594586,0.013109303852097631,0.8983050847457628,0.3,0.45111111111111113,1.1893274853801166,1.4529914529914474,,,,
fade_credit_24h,credit_spread_proxy,24,p80,0.8,immediate,USO,445,0.6179775280898876,0.5384615384615384,-0.03352838244234813,-14.92013018684492,0.9056774635642055,0.007983517898531911,0.8983050847457628,0.2696629213483146,0.4202247191011236,1.4423076923077034,1.4117647058823086,,,,
