strategy_name,family,horizon_hours,threshold_label,min_entry_abs_ret_60m_slot_percentile,timing_regime,event_day_bucket,symbol,trade_count,win_rate,median_r,mean_r,total_r,profit_factor,median_entry_abs_return,median_entry_abs_ret_60m_slot_percentile,contained_within_0_5x_shock_rate_24h,contained_within_1_0x_shock_rate_24h,median_adverse_extension_units_24h,median_favorable_extension_units_24h,contained_within_0_5x_shock_rate_72h,contained_within_1_0x_shock_rate_72h,median_adverse_extension_units_72h,median_favorable_extension_units_72h
fade_credit_24h,credit_spread_proxy,24,all,0.0,immediate,weekday,GLD,1846,0.5796316359696642,0.5384615384615384,-0.09512545340327572,-175.60158698244697,0.7628432395037253,0.0013186994389050577,0.5076923076923077,0.1635969664138678,0.24972914409534128,3.8000000000002423,3.855400696864265,,,,
fade_credit_24h,credit_spread_proxy,24,all,0.0,immediate,weekday,QQQ,1852,0.5583153347732182,0.5384615384615384,-0.12881162015319447,-238.55912052371616,0.6953304869467165,0.0012803428358164615,0.5230769230769231,0.14578833693304535,0.23110151187904968,3.675757575757641,3.6825757575756244,,,,
fade_credit_24h,credit_spread_proxy,24,all,0.0,immediate,weekday,SLV,1776,0.5850225225225225,0.5384615384615384,-0.08774016524009895,-155.82653346641573,0.7786353127835594,0.002266111473023802,0.515625,0.16835585585585586,0.268018018018018,3.4722222222219514,3.666666666666509,,,,
fade_credit_24h,credit_spread_proxy,24,all,0.0,immediate,weekday,SPY,1850,0.5664864864864865,0.5384615384615384,-0.11725925676434817,-216.92962501404412,0.716943037194517,0.0010000427019387081,0.5254237288135594,0.1535135135135135,0.22054054054054054,3.421580671580413,3.552882072977643,,,,
fade_credit_24h,credit_spread_proxy,24,all,0.0,immediate,weekday,UNG,1760,0.5738636363636364,0.5384615384615384,-0.10166071164904275,-178.92285250231524,0.7486578484334498,0.004659108669603285,0.5806451612903226,0.17727272727272728,0.2676136363636364,2.9999999999999876,3.285714285714266,,,,
fade_credit_24h,credit_spread_proxy,24,all,0.0,immediate,weekday,USO,1791,0.5683975432719152,0.5384615384615384,-0.11315471498591895,-202.66009453978083,0.7258221421437901,0.0025544703230653276,0.5538461538461539,0.16973757677275264,0.25907314349525407,3.181818181818211,3.26829268292683,,,,
fade_credit_24h,credit_spread_proxy,24,all,0.0,delayed,weekday,GLD,626,0.6549520766773163,0.5384615384615384,0.03459764401730533,21.658125154833137,1.1151547385386595,0.004810230203113219,0.921875,0.2268370607028754,0.4281150159744409,1.1208053691274824,1.1365911365911558,,,,
fade_credit_24h,credit_spread_proxy,24,all,0.0,delayed,weekday,QQQ,626,0.7188498402555911,0.5384615384615384,0.10397401321134175,65.08773227029994,1.3919852308751,0.0031193284936480437,0.883300916921367,0.2571884984025559,0.4185303514376997,1.4568670576735185,2.260547676389277,,,,
fade_credit_24h,credit_spread_proxy,24,all,0.0,delayed,weekday,SLV,619,0.6720516962843296,0.5384615384615384,0.05830468612754074,36.09060071294772,1.201042362320433,0.008864643709512565,0.9491525423728814,0.25363489499192243,0.4668820678513732,1.1951710261569415,0.9500000000000106,,,,
fade_credit_24h,credit_spread_proxy,24,all,0.0,delayed,weekday,SPY,622,0.6816720257234726,0.5384615384615384,0.06234751480638028,38.780154209568536,1.212982389932928,0.00259956994768773,0.9076923076923077,0.28135048231511256,0.4003215434083601,1.5844155844152756,1.887218045112717,,,,
fade_credit_24h,credit_spread_proxy,24,all,0.0,delayed,weekday,UNG,608,0.6233552631578947,0.5384615384615384,0.0016610480052641442,1.0099171872005996,1.005216538625526,0.010089020771513413,0.9519723360655737,0.21052631578947367,0.40131578947368424,1.7500000000000056,1.92857142857143,,,,
fade_credit_24h,credit_spread_proxy,24,all,0.0,delayed,weekday,USO,623,0.7142857142857143,0.5384615384615384,0.11384410449510068,70.92487710044773,1.4464908955260984,0.006791800444554186,0.8032786885245902,0.26324237560192615,0.44141252006420545,1.2087912087912072,1.7368421052631575,,,,
fade_credit_24h,credit_spread_proxy,24,all,0.0,delayed,weekend,GLD,757,0.6803170409511229,0.5384615384615384,0.07132566547327139,53.99352876326645,1.2629458372524474,0.006333822185381255,0.9491525423728814,0.31704095112285335,0.5455746367239102,0.822335025380699,0.9068322981366461,,,,
fade_credit_24h,credit_spread_proxy,24,all,0.0,delayed,weekend,QQQ,757,0.9088507265521797,0.5384615384615384,0.3740622155737239,283.165097189309,5.7550419812991365,0.0055414620103990675,1.0,0.43593130779392336,0.6697490092470277,0.7233146067415693,1.248704663212451,,,,
