strategy_name,family,horizon_hours,threshold_label,min_entry_abs_ret_60m_slot_percentile,timing_regime,topic_bucket,symbol,trade_count,win_rate,median_r,mean_r,total_r,profit_factor,median_entry_abs_return,median_entry_abs_ret_60m_slot_percentile,contained_within_0_5x_shock_rate_24h,contained_within_1_0x_shock_rate_24h,median_adverse_extension_units_24h,median_favorable_extension_units_24h,contained_within_0_5x_shock_rate_72h,contained_within_1_0x_shock_rate_72h,median_adverse_extension_units_72h,median_favorable_extension_units_72h
fade_credit_24h,credit_spread_proxy,24,all,0.0,immediate,tariffs_trade,GLD,95,0.5578947368421052,0.5384615384615384,-0.12319863849313627,-11.703870656847945,0.7050307487875338,0.0014781774331578124,0.5692307692307692,0.17894736842105263,0.28421052631578947,4.25333333333333,3.8022388059701386,,,,
fade_credit_24h,credit_spread_proxy,24,all,0.0,immediate,tariffs_trade,QQQ,95,0.49473684210526314,-0.010989010989653512,-0.22297193375097216,-21.182333706342355,0.54436821136758,0.0020180194871376456,0.6307692307692307,0.22105263157894736,0.30526315789473685,4.072164948454017,2.171874999999921,,,,
fade_credit_24h,credit_spread_proxy,24,all,0.0,immediate,tariffs_trade,SLV,93,0.6344086021505376,0.5384615384615384,0.007022077012501121,0.6530531621626042,1.0215740971751315,0.0024227740763174133,0.4838709677419355,0.20430107526881722,0.3010752688172043,3.333333333333136,3.268656716417899,,,,
fade_credit_24h,credit_spread_proxy,24,all,0.0,immediate,tariffs_trade,SPY,95,0.5578947368421052,0.5384615384615384,-0.1368038038601522,-12.99636136671446,0.6820624970041339,0.0016038874420376548,0.6721311475409836,0.21052631578947367,0.3157894736842105,3.2845528455283772,2.6918604651162337,,,,
fade_credit_24h,credit_spread_proxy,24,all,0.0,immediate,tariffs_trade,UNG,91,0.5604395604395604,0.5384615384615384,-0.11713441500542493,-10.659231765493669,0.7170261147256833,0.004773269689737347,0.5901639344262295,0.2087912087912088,0.2857142857142857,2.769230769230786,2.884615384615387,,,,
fade_credit_24h,credit_spread_proxy,24,all,0.0,immediate,tariffs_trade,USO,90,0.5666666666666667,0.5384615384615384,-0.09321487610294785,-8.389338849265306,0.7659934852769378,0.0031529816916597286,0.6229508196721312,0.16666666666666666,0.28888888888888886,2.434098639455821,3.17152961980544,,,,
fade_credit_24h,credit_spread_proxy,24,all,0.0,immediate,war_geopolitics,GLD,157,0.643312101910828,0.5384615384615384,0.002430571210434901,0.3815996800382795,1.0071890773098215,0.0013443504492096636,0.49230769230769234,0.15286624203821655,0.28662420382165604,4.000000000000406,4.461538461538342,,,,
fade_credit_24h,credit_spread_proxy,24,all,0.0,immediate,war_geopolitics,QQQ,158,0.6075949367088608,0.5384615384615384,-0.061350384226783704,-9.693360707831825,0.8387088242704519,0.0015332087609912226,0.5083356487913309,0.10759493670886076,0.21518987341772153,3.706685251420346,3.25815608507921,,,,
fade_credit_24h,credit_spread_proxy,24,all,0.0,immediate,war_geopolitics,SLV,153,0.6209150326797386,0.5384615384615384,-0.025674491163109388,-3.9281971479557365,0.9266267957336033,0.0030092592592592116,0.5692307692307692,0.1830065359477124,0.29411764705882354,2.818181818181789,3.5999999999999432,,,,
fade_credit_24h,credit_spread_proxy,24,all,0.0,immediate,war_geopolitics,SPY,158,0.569620253164557,0.5384615384615384,-0.1204941795355388,-19.03808036661513,0.7114667792997401,0.0013033429239512895,0.5715006305170239,0.10759493670886076,0.17721518987341772,3.605263157896898,3.3208208831340507,,,,
